Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_2, R_6, R_7, R_10, R_12, R_13, R_14, R_15",0.0,1.0,1.0,1,19.0,8212,0,0.65,0.00013928804739225144,2,2,False
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_2, R_6, R_7, R_10, R_11, R_12, R_13, R_14, R_15",0.0,1.0,1.0,1,26.5,5947,2,0.7,0.000194270171362877,2,2,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_2, R_6, R_7, R_10, R_11, R_12, R_13, R_14, R_15",0.0,1.0,1.0,1,1.0,3,3,0.7,7.330949862750075e-06,1,1,False
"0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_2, R_7, R_10, R_12, R_13, R_14, R_15",0.0,1.0,1.0,1,2.0,46,46,0.6,1.466189972550015e-05,1,1,False
"1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_10",1.0,1.0,1.0,13,55.058561239304446,9904,1423,0.25,0.005247210175486442,276,276,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_9",0.0,1.0,1.0,1,57.66442177528409,9998,1600,0.3,0.00042273498489908137,120,120,False
"0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_2",0.0,0.061803406301222975,0.7570093457943925,1,44.73279048572928,9947,1678,0.2,0.003435893255314258,405,535,False
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_1, A_2, A_3, R_2, R_11, R_14",0.0,0.12455966611540459,0.811965811965812,1,50.787791733121814,9972,1867,0.3,0.0003723227548353088,95,117,False
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_9, R_10",1.0,1.0,1.0,2,56.54715328039644,9904,2043,0.3,0.0008290886911596594,134,134,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_1, A_3, R_2, R_7, R_9, R_15",1.0,0.07125318561721058,0.7678571428571429,1,47.58046450387246,9973,2176,0.3,0.00034880999972424864,86,112,False
"0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_2, R_10",1.0,1.0,1.0,12,64.19139605883544,9904,2395,0.25,0.0056470068735270645,256,256,False
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_3",0.0,1.0,1.0,1,57.748438414389334,9776,2414,0.3,0.00042335090666799867,121,121,False
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_3, R_13",0.0,1.0,1.0,3,51.49944234779139,9700,2491,0.3,0.0011326194894337401,114,114,False
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_7, R_11",0.0,0.07498234465374791,0.7717842323651453,1,46.37847368538363,9990,2549,0.25,0.00033999826529842114,186,241,False
"0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, A_3, R_3, R_13",0.0,0.0980837210740517,0.7927927927927928,1,43.50458527904632,9969,2569,0.25,0.00031892993348042357,176,222,False
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_3",0.0,1.0,1.0,4,54.44163274919664,9898,2592,0.3,0.0015964355205224526,111,111,False
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_3, R_7, R_8, R_15",0.0,0.0773562625552248,0.7741935483870968,1,40.225700732976684,9763,2647,0.3,0.000294892595267441,96,124,False
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_7, R_10",1.0,1.0,1.0,2,57.2447517020866,9841,2675,0.3,0.0008393168092671479,116,116,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_8, R_9",0.0,1.0,1.0,1,52.633442725602045,9998,2770,0.3,0.0003858531297253163,97,97,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_9, R_13",0.0,1.0,1.0,3,60.20008813413725,9998,2847,0.3,0.001323971483533488,100,100,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_6, R_8, R_9, R_15",0.0,1.0,1.0,1,54.22326130777666,9534,3095,0.35,0.00039750801004210677,52,52,False
"1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_9",0.0,1.0,1.0,13,46.82799374872711,9998,3095,0.25,0.004462817766486201,199,199,False
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_14, R_15",0.0,0.12221838790210267,0.8104265402843602,1,53.58942233419686,9967,3203,0.25,0.0003928613683057363,171,211,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_2, R_14, R_15",1.0,1.0,1.0,2,55.72761320780258,9973,3204,0.3,0.0008170726767942592,117,117,False
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_10, R_11",1.0,1.0,1.0,2,44.05986211667714,9992,3271,0.35,0.000646001280274083,41,41,False
"1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_3, R_8, R_12, R_14, R_15",1.0,1.0,1.0,2,59.377719423907834,9932,3316,0.4,0.0008705901681222192,27,27,False
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_0, R_6, R_8, R_12",0.0,1.0,1.0,1,50.5191534393993,9959,3469,0.35,0.0003703533809728143,51,51,False
"1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, A_3, R_9, R_10",0.0,0.10447627035239956,0.7978142076502732,1,43.0645062222087,9982,3479,0.25,0.00031570373597910066,146,183,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_5, R_7",1.0,1.0,1.0,6,54.91688389779232,9994,3504,0.3,0.0024155575348390945,118,118,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_3, R_0, R_2, R_6, R_8, R_14, R_15",0.0,0.012054376104299195,0.6428571428571429,1,42.906413465600004,9554,3527,0.45,0.00031454476590673836,9,14,False
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_2, R_7, R_14",1.0,0.14799861436994402,0.8260869565217391,1,46.900317618925484,9904,3532,0.3,0.0003438238770113967,95,115,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_14, R_15",1.0,1.0,1.0,7,49.860943518684266,9973,3600,0.25,0.0025586965393142136,220,220,False
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, R_1, R_12, R_13, R_14, R_15",0.0,0.21405831560130767,0.8571428571428571,1,57.42518951079036,9918,3615,0.35,0.0004209811851625257,36,42,False
"1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_9, R_14",1.0,0.08818529414998125,0.7844036697247706,1,44.577834313738336,9973,3634,0.25,0.00032679786834399565,171,218,False
"0.0, 1.0, 0.0, 0.0","A_1, A_2, R_2, R_11",0.0,0.07047621542845368,0.7670157068062827,1,47.43229605245236,9972,3736,0.2,0.00034772378423564656,293,382,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_7, R_10",1.0,1.0,1.0,3,53.812463015550215,9904,3755,0.3,0.001183489405074274,103,103,False
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_0, R_7, R_13, R_14",0.0,0.08335775831236203,0.78,1,50.794256857178624,9588,3762,0.35,0.0003723701503356257,39,50,False
"0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, R_0, R_3, R_10, R_11, R_12",0.0,0.15476312515373453,0.8297872340425532,1,50.30165793711665,9792,3767,0.35,0.00036875893235020654,39,47,False
"1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_8, R_9, R_13",0.0,1.0,1.0,3,49.41541529833499,9888,3812,0.3,0.0010867857959972005,76,76,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_10, R_11",1.0,1.0,1.0,2,56.39159916114898,9904,3826,0.3,0.0008268079722613648,107,107,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_7, R_14",1.0,1.0,1.0,5,48.87753326874875,9934,3982,0.3,0.0017915937290404794,110,110,False
"0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_4",1.0,1.0,1.0,15,44.899473681955804,9988,3994,0.25,0.004937336856394268,162,162,False
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_3, R_1, R_3, R_13",0.0,1.0,1.0,3,59.75057739169115,9923,4007,0.3,0.001314085461386568,86,86,False
"0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_2, R_3",0.0,1.0,1.0,1,42.28431919170181,9673,4007,0.3,0.0003099842239748868,91,91,False
"0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, R_2, R_7, R_8",0.0,0.12484972750087216,0.8121546961325967,1,53.69104256930866,9948,4047,0.25,0.0003936063411543818,147,181,False
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_2, R_10, R_12",1.0,1.0,1.0,5,66.13619173948639,9874,4071,0.3,0.0024242055287770022,110,110,False
"0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_6, R_7",1.0,1.0,1.0,6,51.25263503648013,9994,4089,0.25,0.0022543829867175823,193,193,False
"0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_2, R_3",1.0,0.06903458305336889,0.7654320987654321,1,45.10518942617599,9997,4101,0.25,0.000330663882233141,124,162,False
